;urls
188;https://www.tokopedia.com/krispykremeoffic/1-lusin-krispy-kreme-original-glazed-doughnut?whid=0
189;https://www.tokopedia.com/harvest-cakes/the-harvest-thai-tea-slice-cake?whid=0
190;https://www.tokopedia.com/dominocakecatering/mini-cake-cake-ultah-mini-kue-ulang-tahun-unicorn-birthday-cake?whid=0
191;https://www.tokopedia.com/ylshoping/kue-kou-kue-koya?whid=0
192;https://www.tokopedia.com/ergu/san-sebastian-basque-burnt-cheesecake-cheese-cake-small?whid=0
193;https://www.tokopedia.com/steletecake/donat-kentang-donut-huruf-ulang-tahun-birthday-murah-enak?whid=0
194;https://www.tokopedia.com/almondtree-cakes/almondtree-cakes-party-cake-d20?whid=0
195;https://www.tokopedia.com/annsbakehouse/tres-leches-slice-9a93?whid=0
196;https://www.tokopedia.com/mama-dskitchen/carrot-cake-with-cream-cheese-frosting-medium-size?whid=0
197;https://www.tokopedia.com/daisy-cakery1412/kue-klepon-mini-klepon-cake-kue-tradisional?whid=0
198;https://www.tokopedia.com/ylshoping/kue-jipang-thay-hoeng?whid=0
199;https://www.tokopedia.com/donbakeshop/don-bakeshop-marble-cake-marmer-cake-kue-marmer?whid=0
200;https://www.tokopedia.com/voucher-hotel-5/kue-ulang-tahun-birthday-cake-made-in-hotel-5-chocolate?src=topads
201;https://www.tokopedia.com/sophiesallystore/siomay-tart-siomay-ulang-tahun-siomay-ikan-siomay-tart?whid=0
202;https://www.tokopedia.com/izakitchen/sushi-kue?src=topads
203;https://www.tokopedia.com/jbeveragestore/zoda-250-ml?whid=0
204;https://www.tokopedia.com/samwonshop/soft-drink-hata-ramune-minum-soda-asli-jepang-hata-ramune-200-ml-strawberry?whid=0
205;https://www.tokopedia.com/japan-store/hata-ramune-uji-matcha-limited-edition-soda-jepang-tutup-kelereng?whid=0
206;https://www.tokopedia.com/sumberjayagglbr/coca-cola-zero-330-ml?whid=0
207;https://www.tokopedia.com/sumberjayagglbr/schweppes-tonic-water-330-ml?whid=0
208;https://www.tokopedia.com/asfrozen/aw-rootbeer-a-w-root-beer-aw-root-beer-sarsaparila-1dus-24pcs-330ml?whid=0
209;https://www.tokopedia.com/hendrysbeverage/schweppes-ginger-ale?whid=0
210;https://www.tokopedia.com/jetro-official/soft-drink-hata-ramune-matcha-200-ml-minuman-jepang?src=topads
211;https://www.tokopedia.com/tokominah88/tokominah-fanta-soda-water-murni-250ml-12botol?whid=0
212;https://www.tokopedia.com/sumberjayagglbr/a-w-rasa-sarsapalila-330ml?whid=0
213;https://www.tokopedia.com/japan-store/hata-ramune-strawberry-minuman-soda-tutup-kelereng-rasa-strawberry?whid=0
214;https://www.tokopedia.com/yeosofficialshop/yeo-s-sarang-burung-bird-nest-can-300ml-6-pcs?whid=0
215;https://www.tokopedia.com/japan-store/sangaria-ramune-bottle-grape-500-ml?whid=0
216;https://www.tokopedia.com/yeosofficialshop/yeo-s-grass-jelly-can-300ml-6-pcs?whid=0
217;https://www.tokopedia.com/japan-store/tomomasu-peach-ramune-cider-300-ml-sparkling-cider?whid=0
218;https://www.tokopedia.com/geraicantiqu/ms-black-ms-slim-drink-plus-tumbler-by-ms-glow?whid=0
219;https://www.tokopedia.com/rizkypizzahome/mochi-roll-kue-mochi-orijinal-mochi-wijen-mochi-gulung-kue-oleh-oleh?src=topads
220;https://www.tokopedia.com/farmastocks/cadbury-dairymilk-original-malaysi?src=topads
221;https://www.tokopedia.com/supplierbubukminuman/bubuk-minuman-belgian-chocolate-powder-cocoa-cokelat-premium-coklat?src=topads
222;https://www.tokopedia.com/premiumfood/cy-choco-double-hot-chocolate?whid=0
